SGB ID,ZOE MB Health-rank,ZOE MB Diet-rank
SGB15389,0.463,0.518
SGB82503,0.468,0.741
SGB15318_group,0.469,0.479
SGB1857,0.47,0.412
SGB4828_group,0.47,0.333
SGB4788_group,0.47,0.17
SGB79822,0.471,0.344
SGB4269,0.473,0.21
SGB14923,0.473,0.622
SGB2328,0.474,0.625
SGB1784,0.474,0.35
SGB14137,0.475,0.686
SGB15204,0.478,0.489
SGB7256,0.485,0.698
SGB15295_group,0.485,0.191
SGB14182,0.486,0.341
SGB29342,0.488,0.763
SGB4438,0.488,0.614
SGB14824_group,0.489,0.26
SGB2303,0.489,0.62
SGB9262,0.489,0.309
SGB14952,0.49,0.7
SGB14951,0.491,0.542
SGB15459,0.493,0.591
SGB6358,0.494,0.271
SGB14929,0.494,0.267
SGB15286,0.495,0.604
SGB5060,0.495,0.345
SGB15332_group,0.497,0.356
SGB15126,0.497,0.554
SGB72433_group,0.498,0.297
SGB4045,0.498,0.498
SGB1626,0.499,0.579
SGB5180,0.499,0.422
SGB4867,0.499,0.426
SGB4825,0.506,0.108
SGB4925,0.506,0.397
SGB53517,0.507,0.679
SGB1844,0.508,0.335
SGB14844,0.515,0.747
SGB4871_group,0.516,0.289
SGB14050,0.518,0.46
SGB25547,0.519,0.683
SGB1815,0.519,0.292
SGB3957,0.519,0.631
SGB54347,0.519,0.729
SGB6140,0.52,0.638
SGB14127,0.521,0.893
SGB29339,0.524,0.752
SGB1832,0.524,0.315
SGB9342_group,0.524,0.619
SGB15278,0.528,0.413
SGB9203,0.528,0.395
SGB1962,0.529,0.391
SGB5076,0.531,0.315
SGB4808,0.532,0.227
SGB15119,0.532,0.157
SGB3962,0.535,0.795
SGB14892,0.536,0.778
SGB4775,0.536,0.837
SGB4166,0.537,0.534
SGB7144,0.537,0.532
SGB4959,0.538,0.562
SGB63353,0.539,0.64
SGB14953,0.542,0.668
SGB6139,0.545,0.447
SGB16971,0.545,0.295
SGB15300,0.545,0.463
SGB3574,0.545,0.847
SGB47850,0.545,0.143
SGB63327,0.545,0.896
SGB4181,0.547,0.652
SGB15506,0.547,0.537
SGB5190,0.548,0.272
SGB14181,0.548,0.605
SGB1846,0.548,0.435
SGB15068,0.549,0.432
SGB4537,0.55,0.367
SGB14906,0.551,0.466
SGB9347,0.551,0.315
SGB1786,0.551,0.433
SGB7265,0.553,0.776
SGB4571,0.556,0.375
SGB29321,0.557,0.599
SGB4531,0.557,0.824
SGB15073,0.56,0.372
SGB14933,0.562,0.424
SGB15154,0.564,0.549
SGB6747,0.565,0.794
SGB15273,0.568,0.723
SGB4367,0.569,0.53
SGB15091,0.572,0.431
SGB3965,0.573,0.251
SGB63369,0.574,0.666
SGB9224,0.575,0.648
SGB3964,0.575,0.618
SGB6952,0.58,0.503
SGB4765,0.581,0.27
SGB29305,0.581,0.64
SGB4285_group,0.581,0.627
SGB5089,0.584,0.4
SGB4581,0.584,0.649
SGB59869,0.586,0.628
SGB4727,0.587,0.7
SGB25431,0.591,0.664
SGB2299,0.592,0.32
SGB1829,0.593,0.495
SGB4990,0.597,0.6
SGB1891_group,0.597,0.475
SGB2286,0.6,0.333
SGB17278,0.601,0.141
SGB1949,0.602,0.867
SGB63343,0.602,0.697
SGB5045,0.603,0.536
SGB5075_group,0.603,0.571
SGB8007_group,0.604,0.641
SGB29375,0.605,0.315
SGB6847,0.606,0.667
SGB1798,0.607,0.401
SGB4670,0.609,0.218
SGB4582_group,0.61,0.299
SGB4290,0.612,0.527
SGB14891,0.612,0.596
SGB1785,0.612,0.329
SGB15209,0.614,0.693
SGB14150,0.62,0.718
SGB33551,0.62,0.227
SGB14958,0.621,0.653
SGB14807,0.622,0.568
SGB4820,0.624,0.556
SGB1812,0.624,0.46
SGB4716,0.627,0.281
SGB4425_group,0.627,0.461
SGB9340,0.628,0.377
SGB14779,0.629,0.716
SGB14125,0.63,0.634
SGB14259,0.631,0.567
SGB4784,0.631,0.862
SGB15260,0.633,0.369
SGB14741,0.634,0.821
SGB4577_group,0.635,0.64
SGB71281,0.637,0.484
SGB14307,0.638,0.64
SGB5803,0.638,0.46
SGB58519,0.641,0.607
SGB5077,0.643,0.523
SGB15125,0.645,0.851
SGB15143,0.647,0.683
SGB4116,0.649,0.912
SGB4677,0.652,0.804
SGB15467_group,0.654,0.523
SGB7202,0.655,0.351
SGB6178,0.656,0.686
SGB6796_group,0.656,0.586
SGB6783_group,0.658,0.6
SGB1860,0.658,0.617
SGB4059,0.659,0.529
SGB63326,0.659,0.875
SGB9272_group,0.659,0.638
SGB15350,0.659,0.517
SGB14334,0.66,0.599
SGB1941,0.665,0.461
SGB16986,0.667,0.667
SGB14909,0.668,0.768
SGB1963,0.669,0.507
SGB4774,0.671,0.617
SGB14143,0.671,0.81
SGB15272,0.671,0.729
SGB29380,0.672,0.898
SGB4811_group,0.675,0.695
SGB4595,0.676,0.524
SGB4834,0.676,0.184
SGB4030,0.679,0.677
SGB8071,0.679,0.772
SGB2311,0.68,0.47
SGB3991,0.68,0.663
SGB4722,0.681,0.685
SGB17244,0.682,0.536
SGB3993,0.682,0.648
SGB4553,0.683,0.137
SGB6956,0.683,0.544
SGB1699,0.689,0.497
SGB6962_group,0.691,0.796
SGB4705,0.691,0.569
SGB1957,0.693,0.295
SGB4532,0.694,0.41
SGB4327_group,0.695,0.45
SGB59559,0.698,0.803
SGB4594,0.699,0.683
SGB5765_group,0.7,0.518
SGB17169,0.702,0.672
SGB15120,0.705,0.71
SGB1948,0.705,0.421
SGB14853,0.706,0.928
SGB14898,0.706,0.756
SGB48424,0.707,0.72
SGB5792,0.707,0.619
SGB6754,0.707,0.241
SGB1934,0.708,0.73
SGB14854,0.709,0.743
SGB6768,0.709,0.858
SGB15156_group,0.71,0.71
SGB4750,0.711,0.599
SGB14142,0.711,0.877
SGB17153_group,0.712,0.787
SGB4552_group,0.712,0.329
SGB4951,0.716,0.541
SGB4303,0.716,0.355
SGB9286,0.72,0.504
SGB5051,0.725,0.491
SGB17237,0.726,0.571
SGB4940,0.726,0.624
SGB4597,0.727,0.668
SGB4563_group,0.731,0.793
SGB1867,0.732,0.602
SGB47515,0.733,0.863
SGB59562,0.733,0.7
SGB8059_group,0.739,0.631
SGB4991,0.74,0.78
SGB4540_group,0.741,0.428
SGB14862,0.743,0.683
SGB4422,0.744,0.56
SGB15124,0.745,0.831
SGB14987,0.747,0.519
SGB7263,0.749,0.839
SGB9283,0.751,0.6
SGB4348,0.757,0.52
SGB14895,0.758,0.91
SGB17154,0.759,0.768
SGB17167,0.759,0.664
SGB4626,0.759,0.641
SGB5843,0.762,0.529
SGB4575,0.763,0.499
SGB4613,0.765,0.793
SGB15076,0.771,0.734
SGB17130,0.772,0.62
SGB15904,0.774,0.585
SGB4080,0.775,0.814
SGB6846,0.777,0.499
SGB5825_group,0.778,0.675
SGB14808,0.779,0.618
SGB4874,0.779,0.502
SGB9228,0.782,0.625
SGB6320,0.783,0.711
SGB9260,0.784,0.656
SGB8002,0.785,0.546
SGB6936,0.787,0.522
SGB14962,0.787,0.905
SGB8053,0.788,0.897
SGB4701,0.788,0.785
SGB5197,0.789,0.484
SGB4036,0.79,0.86
SGB4744,0.793,0.805
SGB1877,0.794,0.751
SGB29313,0.799,0.698
SGB14845,0.799,0.701
SGB14963,0.799,0.856
SGB8056,0.801,0.745
SGB6939,0.803,0.644
SGB17256,0.804,0.71
SGB4749,0.804,0.428
SGB3961,0.805,0.683
SGB7142,0.805,0.541
SGB14999,0.805,0.549
SGB4747,0.806,0.813
SGB15149,0.807,0.641
SGB4987,0.807,0.724
SGB6767,0.81,0.776
SGB17248,0.81,0.657
SGB4725,0.81,0.686
SGB59576,0.81,0.643
SGB1903_group,0.811,0.301
SGB5183,0.811,0.635
SGB49059,0.815,0.742
SGB4121,0.819,0.836
SGB25538,0.819,0.707
SGB3970,0.82,0.897
SGB3969,0.822,0.692
SGB14890,0.822,0.767
SGB1830_group,0.824,0.578
SGB7967,0.824,0.341
SGB17168,0.825,0.65
SGB8047,0.828,0.839
SGB4046,0.829,0.72
SGB1855_group,0.83,0.711
SGB3922,0.83,0.937
SGB14995,0.833,0.849
SGB7253,0.838,0.841
SGB48013,0.838,0.795
SGB4741,0.841,0.696
SGB4671,0.842,0.73
SGB15878,0.844,0.901
SGB6769,0.844,0.937
SGB14180,0.844,0.77
SGB29433,0.846,0.728
SGB1871,0.846,0.624
SGB5182,0.852,0.594
SGB5736,0.853,0.875
SGB6771,0.854,0.681
SGB4721,0.857,0.841
SGB14837,0.858,0.865
SGB4044,0.861,0.685
SGB8095,0.862,0.769
SGB17152,0.863,0.592
SGB1861,0.864,0.486
SGB66069,0.865,0.898
SGB4031,0.869,0.642
SGB6153,0.871,0.71
SGB7264,0.88,0.464
SGB15121,0.883,0.747
SGB25437,0.884,0.871
SGB14546_group,0.885,0.843
SGB4933_group,0.888,0.635
SGB4763,0.888,0.906
SGB5193,0.889,0.961
SGB7985,0.891,0.674
SGB4699,0.892,0.843
SGB19850_group,0.893,0.569
SGB17137,0.895,0.811
SGB4785,0.897,0.835
SGB15078,0.898,0.904
SGB53821,0.898,0.828
SGB15452,0.899,0.839
SGB15271,0.9,0.893
SGB4724,0.902,0.818
SGB8255_group,0.906,0.857
SGB79823,0.906,0.647
SGB8028_group,0.908,0.804
SGB4573_group,0.912,0.768
SGB14874,0.913,0.964
SGB4988,0.914,0.679
SGB5184,0.914,0.894
SGB4786,0.915,0.713
SGB4826_group,0.915,0.84
SGB4041,0.916,0.918
SGB7984,0.917,0.584
SGB4761,0.919,0.777
SGB4447,0.922,0.524
SGB6744,0.923,0.757
SGB1836_group,0.926,0.546
SGB1814,0.926,0.778
SGB4630_group,0.927,0.885
SGB8163,0.93,0.778
SGB4617,0.933,0.866
SGB4588_group,0.933,0.784
SGB4742,0.937,0.66
SGB4572,0.938,0.9
SGB10115,0.938,0.731
SGB15158,0.942,0.878
SGB29328,0.943,0.84
SGB4791,0.945,0.942
SGB4688,0.946,0.901
SGB10068,0.949,0.825
SGB71883,0.957,0.788
SGB4760,0.959,0.818
SGB4037_group,0.961,0.909
SGB4529,0.964,0.922
SGB4837_group,0.968,0.781
SGB79883,0.968,0.969
SGB4762,0.968,0.796
SGB4797,0.974,0.913
SGB14809,0.977,0.872
SGB4758_group,0.978,0.891
SGB4703,0.978,0.959
SGB4606,0.981,0.874
SGB4584,0.981,0.932
SGB15132,0.981,0.901
SGB4746,0.985,0.809
SGB4862,0.986,0.893
SGB4798,0.986,0.755
SGB4861,0.989,0.943
SGB4608,0.991,0.904
SGB4035,0.994,0.968
SGB4794_group,0.996,0.956
SGB4753,0.997,0.928
SGB4583,1,0.965
